modelo,cultura,n,MAE,RMSE,R2
Regressão Linear,"Cocoa, beans",8,1950.6013499366918,2164.3395180608663,-0.6387929731026045
Regressão Linear,Oil palm fruit,8,8565.579599429573,9099.692093512462,0.009629754530412149
Regressão Linear,"Rice, paddy",8,3735.0718309135177,5077.738939345519,-0.036633253637262664
Regressão Linear,"Rubber, natural",8,1691.00942607259,1980.928224578225,-0.11333692451052158
Árvore de Decisão,"Cocoa, beans",8,2135.85129310346,2445.8372020675456,-1.0928032819892466
Árvore de Decisão,Oil palm fruit,8,7565.333333333336,10571.392726586324,-0.33662199546273297
Árvore de Decisão,"Rice, paddy",8,3146.25,3940.2250320570824,0.3757961398709321
Árvore de Decisão,"Rubber, natural",8,2135.420258620692,2447.5172524241975,-0.6995762621343633
Random Forest,"Cocoa, beans",8,1615.8741860119062,1820.3779796201775,-0.15930167007228824
Random Forest,Oil palm fruit,8,8561.136038216995,9018.879756223885,0.027142160630410306
Random Forest,"Rice, paddy",8,2760.9190726686497,3603.847894257538,0.47782352293250163
Random Forest,"Rubber, natural",8,1450.938962053574,1742.5939227136785,0.13844794375477343
Gradient Boosting,"Cocoa, beans",8,1984.611468930797,2336.3649454021447,-0.9096539598494906
Gradient Boosting,Oil palm fruit,8,8945.610431801146,10010.887207407495,-0.19864154345690666
Gradient Boosting,"Rice, paddy",8,2929.138703816107,3947.768709402128,0.3734037384008323
Gradient Boosting,"Rubber, natural",8,1896.5130248162168,1999.8477996900149,-0.13470514001566536
SVR (RBF),"Cocoa, beans",8,2758.6888755135396,4489.3092553983715,-6.050702043537695
SVR (RBF),Oil palm fruit,8,10098.730094162955,11627.23064610938,-0.6169506467097301
SVR (RBF),"Rice, paddy",8,2660.199571711184,3373.4385789654775,0.5424590041498534
SVR (RBF),"Rubber, natural",8,1942.8940800544597,2682.763233323209,-1.0419910050224823
Média global,"Cocoa, beans",8,46422.86693548387,46453.64354648639,-753.9407721894208
Média global,Oil palm fruit,8,118816.50806451612,119167.83175062483,-168.84871449435605
Média global,"Rice, paddy",8,23333.74193548387,23860.758430931288,-21.8903738864034
Média global,"Rubber, natural",8,48287.61693548387,48324.09913973983,-661.5469611271919
Média por cultura,"Cocoa, beans",8,1550.2540322580635,1972.4205016034682,-0.3610445182908022
Média por cultura,Oil palm fruit,8,8895.354838709682,9209.802291933507,-0.014483070014229105
Média por cultura,"Rice, paddy",8,4025.040322580646,5060.070377734629,-0.029431641755763183
Média por cultura,"Rubber, natural",8,1838.875,1877.394436946656,-4.291266142431027e-07
