linha_csv_zero_based,cenario,cultura,rendimento,previsao,residuo
0,6,"Cocoa, beans",11560,9518.332150793605,2041.6678492063947
5,13,"Cocoa, beans",8850,9129.185394841246,-279.1853948412463
14,27,"Cocoa, beans",6912,8546.614297619053,-1634.614297619053
18,33,"Cocoa, beans",8300,9745.435815476172,-1445.4358154761721
20,26,"Cocoa, beans",9956,8252.404000000024,1703.595999999976
26,30,"Cocoa, beans",12362,9316.20600595235,3045.79399404765
30,36,"Cocoa, beans",10737,8491.77333333333,2245.226666666669
38,4,"Cocoa, beans",8848,9379.473470238088,-531.4734702380883
39,6,Oil palm fruit,169783,174371.5426111111,-4588.542611111101
44,13,Oil palm fruit,169781,176869.450843254,-7088.450843253988
53,27,Oil palm fruit,166136,175619.60411706346,-9483.604117063456
57,33,Oil palm fruit,165993,176174.63325595233,-10181.633255952329
59,26,Oil palm fruit,168476,176021.60637896822,-7545.606378968223
65,30,Oil palm fruit,183544,176144.552515873,7399.447484127013
69,36,Oil palm fruit,185831,178449.52250378777,7381.477496212232
77,4,Oil palm fruit,189896,175075.67388095238,14820.326119047619
78,6,"Rice, paddy",28409,27543.617029761925,865.3829702380754
83,13,"Rice, paddy",26399,26035.53682142855,363.4631785714482
92,27,"Rice, paddy",31619,33772.08045400433,-2153.080454004332
96,33,"Rice, paddy",29415,30871.877422619044,-1456.8774226190435
98,26,"Rice, paddy",31101,33756.93129924243,-2655.931299242431
104,30,"Rice, paddy",35277,33697.79970400434,1579.200295995659
108,36,"Rice, paddy",37468,29951.301027417045,7516.698972582955
116,4,"Rice, paddy",42550,37053.28201190475,5496.7179880952535
117,6,"Rubber, natural",9322,9337.667406746026,-15.667406746026245
122,13,"Rubber, natural",10024,9282.273585317482,741.7264146825182
131,27,"Rubber, natural",6448,8188.113148809527,-1740.113148809527
135,33,"Rubber, natural",5249,8823.1307916667,-3574.130791666699
137,26,"Rubber, natural",6348,7862.169279761933,-1514.1692797619326
143,30,"Rubber, natural",9612,8589.397148809527,1022.6028511904733
147,36,"Rubber, natural",9701,7972.834363095259,1728.1656369047414
155,4,"Rubber, natural",5903,7173.936166666674,-1270.9361666666737
