cultura,cluster,count,mean,median,min,max
"Cocoa, beans",1,11,8847.363636363636,9003.0,5765,11560
"Cocoa, beans",2,17,8947.588235294117,8300.0,6530,13056
"Cocoa, beans",3,11,8819.272727272728,8226.0,7066,11487
Oil palm fruit,1,11,171039.9090909091,169783.0,150428,201436
Oil palm fruit,2,17,177074.17647058822,175629.0,160862,199074
Oil palm fruit,3,11,178607.54545454544,181496.0,142425,203399
"Rice, paddy",1,11,27002.727272727272,26648.0,24686,29918
"Rice, paddy",2,17,33147.94117647059,33260.0,25251,37972
"Rice, paddy",3,11,35576.545454545456,36361.0,28829,42550
"Rubber, natural",1,11,8916.0,9322.0,6546,10285
"Rubber, natural",2,17,7776.470588235294,7435.0,5249,10159
"Rubber, natural",3,11,6808.636363636364,6275.0,5571,9205
